,0,1,2,3,4
0,TÀI SẢN,Mã số,,31/3/2023,31/12/2022
1,A. TÀI SẢN NGẮN HẠN,100,,7.319.348.784.046,8.877.822.091.860
2,- Tiền và các khoản tương dương tiền,110,1,220.193.173.420,1.602.587.113.047
3,1. Tiền,111,,118.193.173.420,374.987.113.047
4,2. Các khoản tương đương tiền,112,,102.000.000.000,1.227.600.000.000
5,Các khoản đầu tư tài chính ngắn hạn,120,4,6.142.700.000.000,5.313.061.859.331
6,1. Đầu tư nắm giữ đến ngày đáo hạn,123,,6.142.700.000.000,5.313.061.859.331
7,III. Các khoản phải thu ngắn hạn,130,,876.063.130.634,1.879.162.382.953
8,1. Phải thu ngắn hạn của khách hàng,131,,106.129.533.532,123.029.215.178
9,2. Trả trước cho người bán ngắn hạn,132,,28.981.339.040,1.954.028.351
10,3. Phải thu về cho vay ngắn hạn,135,2,419.900.000.000,422.900.000.000
11,4. Phái thu ngắn hạn khác,136,3,329.221.807.017,1.339.448.688.379
12,5. Dự phòng phải thu ngắn hạn khó đòi,137,,(8.169.548.955),(8.169.548.955)
13,IV. Hàng tồn kho,140,,595.438.253,355.438.253
14,1. Hàng tồn kho,141,,595.438.253,355.438.253
15,V. Tài sản ngắn hạn khác,150,,79.797.041.739,82.655.298.276
16,1. Chi phí trả trước ngắn hạn,151,,4.323.661.147,2.355.887.790
17,2. Thuế giá trị gia tăng được khấu trừ,152,,71.416.517.283,76.242.547.177
18,"3. Thuế và các khoản khác phải thu Nhà
nước",153,10,4.056.863.309,4.056.863.309
19,B. TÀI SẢN DÀI HẠN,200,,13.675.520.937.921,11.586.716.188.494
20,11. Tài sản cố định,220,,1.951.537.008.093,1.980.893.006.685
21,1. Tài sản cố định hữu hình,221,5,1.922.138.272.486,1.948.087.485.760
22,- Nguyên giá,222,,2.255.316.481.587,2.253.214.928.513
23,- Giá trị hao mòn lũy kế,223,,(333.178.209.101),(305.127.412.783)
24,2. Tài sản cố định vô hình,227,6,29.398.735.607,32.805.520.925
25,- Nguyên giá,228,,134.167.061.217,132.216.392.831
26,- Giá trị hao mòn lũy kế,229,,(104.768.325.610),(99.410.871.906)
27,HI. Tài sán dở dang dài hạn,240,,139.549.133.644,116.690.829.404
28,1. Chi phí xây dựng cơ bản dở dang,242,,139.549.133.644,116.690.829.404
29,IV. Các khoản đầu tư tài chính dài hạn,250,,11.532.613.409.012,9.432.613.409.012
30,1. Đầu tư vào công ty con,251,7,11.039.613.409.012,8.939.613.409.012
31,"2. Đầu tư vào công ty liên doanh, liên kết",252,8,492.500.000.000,492.500.000.000
32,3. Đầu tư góp vốn vào đơn vị khác,253,,500.000.000,500.000.000
33,V. Tài sản dài hạn khác,260,,51.821.387.172,56.518.943.393
34,1. Chi phí trả trước dài hạn,261,,22.217.069.858,24.007.939.167
35,2. Tài sản thuế thu nhập hoãn lại,262,,29.604.317.314,32.511.004.226
36,TỔNG CỘNG TÀI SẢN (270 - 100 % 200),270,,20.994.869.721.967,20.464.538.280.354
