,0,1,2,3,4,5
0,,,,,,VND
1,,NGUỒN VỐN,Mã số,,31/3/2023,31/12/2022
2,,NỢ PHẢI TRẢ,300,,5.227.138.751.581,6.870.450.939.076
3,1.,Nợ ngắn hạn,310,,4.995.690.541.723,5.538.104.171.392
4,,1. Phải trả người bán ngắn hạn,311,9,604.908.451.430,626.248.311.920
5,,2. Người mua trả tiền trước ngắn hạn,312,,7.478.376.993,7.476.087.961
6,,3. Thuế và các khoản phải nộp Nhà nước,313,10,1.982.172.093,2.697.077.712
7,,4. Phải trả người lao động,314,,732.457.592,26.896.324 811
8,,5. Chi phí phải trả ngắn hạn,315,11,158.065.171.744,122.535.571.903
9,,6. Doanh thu chưa thực hiện ngắn hạn,318,,6.629.469.139,6.629.469.139
10,,7. Phải trả ngắn hạn khác,319,12,223.549.871.931,542.628.306.034
11,,8. Vay và nợ thuê tài chính ngắn hạn,320,13,3.825.205.700.000,4.025.000.000.000
12,,9. Dự phòng phải trả ngắn hạn,321,,9.700.000.000,19.400.000.000
13,,"10. Quỹ khen thưởng, phúc lợi",322,,157.438.870.801,158.593.021.912
14,11.,Nợ dài hạn,330,,231.448.209.858,1.332.346.767.684
15,,1. Doanh thu chưa thực hiện dài hạn,336,,231.448.209.858,233.105.577.144
16,,2. Vay và nợ thuê tài chính dài hạn,338,13,,1.099.205.700.000
17,,3. Thuế thu nhập hoãn lại phải trả,341,,,35.490.540
18,,VỐN CHỦ SỞ HỮU,400,,15.767.730.970.386,13.594.087.341.278
19,1.,Vốn chủ sở hữu,410,14,15.767.730.970.386,13.594.087.341.278
20,,1. Vốn góp của chủ sở hữu,411,,10.970.265.720.000,10.970.265.720.000
21,,- Cô phiếu phổ thông có quyền biểu quyết,411a,,10.970.265.720.000,10.970.265.720.000
22,,2. Thặng dư vốn cổ phần,412,,49.941.441.360,49.941.441.360
23,,4. Quỹ đầu tư phát triển,418,,103.009.261,103.009.261
24,,5. Quỹ khác thuộc vốn chủ sở hữu,420,,87.203.093.024,87.203.093.024
25,,6. Lợi nhuận sau thuế chưa phân phối,421,,4.660.217.706.741,2.486.574.077.633
26,,"- Lợi nhuận sau thuế chưa phân phối đến
cuối kỳ trước",421a,,2.486.574.077.633,447.315.612.816
27,,- Lợi nhuận sau thuế chưa phân phối kỳ này,421b,,2.173.643.629.108,2.039.258.464.817
