,0,1,2,3
0,,,,ĐƠNV.VND
1,,,Lũy kế từ đầu năm đến cuối quý này,
2,,,Năm 2023,Năm 2022
3,LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
4,1. Lợi nhuận trước thuế,01,2.176.514.825.480,1.236.113.403.051
5,2. Điều chỉnh cho các khoản:,,,
6,Khấu hao tài sản cố định và bất động sản đầu tư,02,33.456.666.978,31.416.218.511
7,Các khoản dự phòng,03,(9.700.000.000),(9.000.000.000)
8,"Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các
khoản mục tiền tệ có gốc ngoại tệ",04,(1.016.682.617),(925.729.804)
9,Lãi từ hoạt động đầu tư,05,(2.298.813.382 119),(1.470.239.934.915)
10,Chi phí lãi vay,06,74.739.024.554,56.374.841.913
11,"3. Lợi nhuận từ hoạt động kinh doanh trước thay
đổi vốn lưu động",08,(24.819.547.724),(156.261.201.244)
12,(Tăng)/giảm các khoản phải thu,09,(6.989.088.061),25.472.482.503
13,(Tăng)/giảm hàng tồn kho,10,(240.000.000),(130.744.000)
14,"Tăng/(giám) các khoản phải trả (Không kể lãi vay
phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(329.554.625.992),260.365.172.627
15,(Tăng)/giảm chi phí trả trước,12,(176.904.048),(8.365.095.131)
16,Tiền lãi vay đã trả,14,(77.359.424.713),(59.179.530.719)
17,Tiên chi khác cho hoạt động kinh doanh,17,(1.154.151.111),(25.220.500.000)
18,Lưu chuyển tiền thuân từ hoạt động kinh doanh,20,(440.293.741.649),36.380.584.036
19,II. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
20,"1. Tiền chi mua sắm, xây dựng tài sản cố định và
các tài sản dài hạn khác",21,(26.958.972.626),(33.317.042.951)
21,"2. Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(4.111.600.000.000),(3.687.999.000.000)
22,"3. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn
vị khác",24,3.284.961.859.331,3.401.725.000.000
23,4. Tiền chi đầu tư góp vốn vào các đơn vị khác,25,(2.100.000.000.000),(1.550.000.000.000)
24,"5. Thu lãi tiền cho vay, cổ tức và lợi nhuận được
chia",27,3.310.727.752.393,2.164.802.156.066
25,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,357.130.639.098,295.211.113.115
