,0,1,2,3,4
0,,,,,Đơn vị: VND
1,,CHỈ TIÊU,Mã số,,
2,,,,Năm 2023,Năm 2022
3,,,,,
4,,,31,,823.760.000
5,2. Tiền thu từ đi vay,,33,2.669.000.000.000,4.049.740.000.000
6,3. Tiền trả nợ gốc vay,,34,(3.968.000.000.000),(4.499.740.000.000)
7,,,36,(53.384.375),(41.620.300)
8,,,40,(1.299.053.384.375),(449.217.860.300)
9,,,50,(1.382.216.486.926),(117.626.163.149)
10,,,60,1.602.587.113.047,2.096.322.957.509
11,,,61,(177.452.701),(133.023.126)
12,,,,220.193.173.420,1.978.563.771.224
13,(70-50460),,70,220.193.173.420,1.978.563.771.224
